sampleID	lat	lon	depth
S0187	-22.4732	-32.7487	9
S0188	-22.4732	-32.7487	49
S0189	-22.4732	-32.7487	150
S0190	-17.0173	-30.6052	49
S0191	-12.8957	-29.2335	10
S0192	-12.8957	-29.2335	49
S0193	-12.8957	-29.2335	149
S0195	-17.0173	-30.6052	143
S0196	-9.1608	-28.0012	10
S0197	-9.1608	-28.0012	50
S0198	-9.1608	-28.0012	135
S0199	-5.6667	-28.4572	10
S0200	-5.6667	-28.4572	50
S0201	-5.6667	-28.4572	149
S0202	-2.6505	-28.9172	10
S0203	-2.6505	-28.9172	65
S0204	-2.6505	-28.9172	149
S0205	-0.1915	-32.8745	9
S0206	-0.1915	-32.8745	61
S0207	-0.1915	-32.8745	150
S0209	-49.5475	-52.6885	10
S0210	-49.5475	-52.6885	49
S0211	-48.9358	-48.7933	11
S0212	-48.9358	-48.7933	51
S0213	-48.9358	-48.7933	150
S0214	-46.907	-47.179	10
S0215	-46.907	-47.179	51
S0216	-46.907	-47.179	151
S0217	-44.7117	-45.5265	10
S0218	-44.7117	-45.5265	51
S0219	-44.7117	-45.5265	149
S0220	-42.364	-44.0318	10
S0221	-42.364	-44.0318	50
S0222	-42.364	-44.0318	150
S0223	-39.9648	-42.4232	10
S0224	-39.9648	-42.4232	50
S0225	-39.9648	-42.4232	149
S0226	-37.8305	-41.1248	9
S0227	-37.8305	-41.1248	50
S0228	-37.8305	-41.1248	148
S0229	-35.0093	-39.431	11
S0231	24.00011	-22.00011	33.2
S0232	24.00011	-22.00011	57.7
S0233	24.00011	-22.00011	72.9
S0234	24.00011	-22.00011	151.8
S0235	24.00011	-22.00011	201.1
S0236	24.00011	-22.00011	349
S0237	24.00011	-22.00011	2
S0238	17.35162	-20.81672	51.8
S0239	17.35162	-20.81672	86.6
S0240	17.35162	-20.81672	101
S0241	17.35162	-20.81672	140.7
S0242	17.35162	-20.81672	185
S0243	17.35162	-20.81672	2
S0244	17.4018	-24.49811	31.8
S0245	17.4018	-24.49811	50.4
S0246	17.4018	-24.49811	71.9
S0247	17.4018	-24.49811	91.6
S0248	17.4018	-24.49811	136.5
S0249	17.4018	-24.49811	185.4
S0250	17.4018	-24.49811	2
S0252	-32.46367	-159.01933	101
S0253	-32.495	-157.9945	14
S0254	-32.495	-157.9945	31
S0255	-32.495	-157.9945	51
S0256	-32.495	-157.9945	76
S0257	-32.495	-157.9945	100
S0258	-32.495	-157.9945	202
S0259	-32.5125	-158.028	1008
S0260	-32.5125	-158.028	5601
S0261	-32.494	-157.00883	15
S0262	-32.494	-157.00883	30
S0263	-29.9999	159	15.5
S0264	-29.9999	159	30
S0265	-29.9999	159	50.6
S0266	-29.9999	159	78
S0267	-29.9999	159	101
S0268	-30.0006	162.998	16.1
S0269	-30.0006	162.998	29.9
S0270	-30.0006	162.998	51.3
S0271	-30.0006	162.998	74
S0272	-30.0006	162.998	100.8
S0273	-30	166.987	13.8
S0274	-30	166.987	30.8
S0275	-30	166.987	51.1
S0276	-30	166.987	74.8
S0277	-30	166.987	101.7
S0278	-29.9997	171	15.1
S0279	-29.9997	171	30.7
S0280	-29.9997	171	50.4
S0281	-29.9997	171	75.4
S0282	-29.9997	171	100.5
S0283	-32.4995	-176.03	14.9
S0284	-32.4995	-176.03	29.3
S0285	-32.4995	-176.03	48.9
S0286	-32.4995	-176.03	76.8
S0287	-32.4995	-176.03	100.3
S0288	-32.4995	-176.03	999.9
S0289	-30.0006	155.98599	74.5
S0290	-30.0006	155.98599	100.9
S0291	-30.0013	174.00101	14.9
S0292	-30.0013	174.00101	30.1
S0293	-30.0013	174.00101	50.4
S0294	33.4334	-58.0503	9
S0295	33.4334	-58.0503	51
S0296	33.4334	-58.0503	76
S0297	33.4334	-58.0503	151
S0298	33.4334	-58.0503	201
S0299	-29.9982	153.50101	15
S0300	-29.9982	153.50101	49.8
S0301	-30.0019	154.004	15.5
S0302	-30.0019	154.004	30.8
S0303	-30.0019	154.004	51.7
S0304	-30.0019	154.004	75.2
S0305	-30.0019	154.004	99
S0306	-30.0006	155.98599	15.4
S0307	-30.0006	155.98599	30.9
S0308	-30.0006	155.98599	50.6
S0309	-30.0013	174.00101	75.1
S0310	-30.0013	174.00101	100.4
S0311	-30.0002	175.98	15.6
S0312	-30.0002	175.98	30.6
S0313	-30.0002	175.98	50.3
S0314	-30.0002	175.98	74.5
S0315	-30.0002	175.98	99.7
S0316	-32.5001	-170	15.5
S0317	-32.5001	-170	28.4
S0318	-32.5001	-170	48.6
S0319	-32.5001	-170	76
S0320	-32.5001	-170	100.3
S0321	-32.5001	-170	1001.5
S0322	-32.4998	-171.99899	15.1
S0323	-32.4998	-171.99899	30.9
S0324	-32.4998	-171.99899	49.8
S0325	-32.4998	-171.99899	75.1
S0326	-32.4998	-171.99899	100.3
S0331	-32.49567	-164.99233	50
S0332	-32.49567	-164.99233	75
S0333	-32.49567	-164.99233	100
S0334	-32.49567	-164.99233	204
S0335	-32.515	-164.98117	1023
S0336	-32.515	-164.98117	5100
S0337	-32.50433	-163.98967	17
S0338	-32.50433	-163.98967	31
S0339	-32.50433	-163.98967	51
S0340	-32.50433	-163.98967	76
S0341	-32.50433	-163.98967	102
S0342	-32.494	-157.00883	49
S0343	-32.494	-157.00883	76
S0344	-32.494	-157.00883	102
S0345	-32.50383	-156.01067	15
S0346	-32.50383	-156.01067	31
S0347	-32.50383	-156.01067	52
S0348	-32.50383	-156.01067	77
S0349	-32.50383	-156.01067	102
S0350	-32.4995	-154.99933	14
S0351	-32.4995	-154.99933	30
S0352	-32.4995	-154.99933	51
S0353	-32.4995	-154.99933	74
S0354	-32.4995	-154.99933	101
S0355	-32.50133	-153.99817	15
S0356	-32.50133	-153.99817	32
S0357	-32.50133	-153.99817	51
S0358	-32.50133	-153.99817	77
S0359	-32.50133	-153.99817	100
S0360	-32.50133	-153.99817	201
S0361	-32.49483	-154.00417	1008
S0362	-32.49483	-154.00417	5095
S0363	-32.494	-153.00567	15
S0365	-32.495	-168.002	75
S0366	-32.495	-168.002	101
S0367	-32.49717	-167.00217	14
S0368	-32.49717	-167.00217	31
S0369	-32.49717	-167.00217	52
S0370	-32.49717	-167.00217	78
S0371	-32.49717	-167.00217	102
S0372	-32.4985	-165.99883	16
S0373	-32.4985	-165.99883	30
S0374	-32.4985	-165.99883	48
S0375	-32.4985	-165.99883	76
S0376	-32.4985	-165.99883	102
S0377	-32.49567	-164.99233	15
S0378	-32.49567	-164.99233	28
S0379	-32.50633	-162.9935	15
S0380	-32.50633	-162.9935	33
S0381	-32.50633	-162.9935	50
S0382	-32.50633	-162.9935	75
S0383	-32.50633	-162.9935	102
S0384	-32.509	-162.009	16
S0385	-32.509	-162.009	30
S0386	-32.509	-162.009	52
S0387	-32.509	-162.009	76
S0388	-32.509	-162.009	101
S0389	-32.49783	-160.99283	15
S0390	-32.49783	-160.99283	30
S0391	-32.49783	-160.99283	50
S0392	-32.49783	-160.99283	73
S0393	-32.49783	-160.99283	100
S0394	-32.51033	-160.00783	15
S0395	-32.51033	-160.00783	32
S0396	-32.51033	-160.00783	49
S0397	-32.51033	-160.00783	72
S0398	-32.51033	-160.00783	102
S0399	-32.46367	-159.01933	15
S0400	-32.46367	-159.01933	32
S0401	-32.46367	-159.01933	49
S0402	-32.46367	-159.01933	76
S0403	-32.494	-153.00567	52
S0404	-32.494	-153.00567	77
S0405	-32.494	-153.00567	101
S0406	-32.4885	-151.9995	15
S0407	-32.4885	-151.9995	30
S0408	-32.4885	-151.9995	52
S0409	-32.4885	-151.9995	75
S0410	-32.4885	-151.9995	102
S0411	-32.49567	-151.00067	15
S0412	-32.49567	-151.00067	30
S0413	-32.49567	-151.00067	50
S0414	-32.49567	-151.00067	76
S0415	-31.5988	178	15.2
S0416	-31.5988	178	30
S0417	-31.5988	178	51.2
S0418	-31.5988	178	74.1
S0419	-31.5988	178	99.8
S0420	-32.4995	-179.125	15.6
S0421	-32.4995	-179.125	29.5
S0422	-32.4995	-179.125	51.1
S0423	-32.4995	-179.125	74.7
S0424	-32.4995	-179.125	99.9
S0425	-32.4995	-179.125	1001.5
S0426	-32.49667	-170.99533	16
S0427	-32.49667	-170.99533	32
S0428	-32.49667	-170.99533	52
S0429	-32.49667	-170.99533	75
S0430	-32.49667	-170.99533	103
S0431	-32.49367	-169.99517	16
S0432	-32.49367	-169.99517	32
S0433	-32.49367	-169.99517	51
S0434	-32.49367	-169.99517	75
S0435	-32.49367	-169.99517	103
S0436	-32.49367	-169.99517	203
S0437	-32.4875	-169.991	1012
S0438	-32.4875	-169.991	4580
S0439	-32.499	-169.00233	17
S0440	-32.499	-169.00233	32
S0441	-32.499	-169.00233	52
S0442	-32.499	-169.00233	76
S0443	-32.499	-169.00233	101
S0444	-32.495	-168.002	15
S0445	-32.495	-168.002	30
S0446	-32.495	-168.002	50
S0447	-34.62898	17.06995	6.1
S0448	-34.62898	17.06995	21.1
S0449	-34.62898	17.06995	31.2
S0450	-34.62898	17.06995	40.8
S0451	-34.62898	17.06995	51.4
S0452	-34.62898	17.06995	60.9
S0453	-35.36689	14.90645	6.4
S0454	-35.36689	14.90645	21.3
S0455	-35.36689	14.90645	51.1
S0456	-35.36689	14.90645	61.4
S0457	-35.36689	14.90645	81.5
S0458	-35.36689	14.90645	101.9
S0459	-36.4495	13.21958	10
S0460	-36.4495	13.21958	21.1
S0461	-36.4495	13.21958	50.2
S0462	-36.4495	13.21958	59.8
S0463	-36.4495	13.21958	81.5
S0464	-36.4495	13.21958	101
S0465	-38.42539	10.08884	6.5
S0466	-38.42539	10.08884	21.4
S0467	-38.42539	10.08884	42.2
S0468	-38.42539	10.08884	52.1
S0469	-38.42539	10.08884	62
S0470	-38.42539	10.08884	101.9
S0471	-40.06269	5.52721	6.3
S0472	-40.06269	5.52721	21.6
S0473	-40.06269	5.52721	51.2
S0474	-40.06269	5.52721	66.3
S0475	-40.06269	5.52721	81.4
S0476	-40.06269	5.52721	101.9
S0477	-40.01935	0.88755	6
S0478	-40.01935	0.88755	21.4
S0479	-40.01935	0.88755	50.9
S0480	-40.01935	0.88755	61.4
S0481	-40.01935	0.88755	76.2
S0482	-40.01935	0.88755	101.9
S0483	-34.89531	16.07692	6
S0484	-34.89531	16.07692	21.2
S0485	-34.89531	16.07692	41.3
S0486	-34.89531	16.07692	60.9
S0487	-34.89531	16.07692	71.6
S0488	-34.89531	16.07692	101.1
S0489	-36.48458	13.276	6.3
S0490	-36.48458	13.276	21.1
S0491	-36.48458	13.276	40.7
S0492	-36.48458	13.276	61.5
S0493	-36.48458	13.276	80.9
S0494	-36.48458	13.276	100.9
S0495	-39.25553	7.72506	6.1
S0496	-39.25553	7.72506	21.4
S0497	-39.25553	7.72506	51.2
S0498	-39.25553	7.72506	71.3
S0499	-39.25553	7.72506	91.5
S0500	-39.25553	7.72506	121.1
S0501	22.75	-158	5
S0502	22.75	-158	100
