sampleID	lat	lon	depth
tara_S0170	0.0003	-153.6759	5
tara_S0171	31.5168	-159.046	115.5
tara_S0172	31.5213	-158.9958	5
tara_S0173	35.4002	-127.7499	45
tara_S0174	35.3671	-127.7422	5
tara_S0175	14.2075	-116.6468	40
tara_S0176	14.2075	-116.6468	40
tara_S0177	14.2075	-116.6468	40
tara_S0178	14.2075	-116.6468	40
tara_S0179	14.2035	-116.6261	5
tara_S0180	6.3378	-102.9538	59.5
tara_S0181	6.3332	-102.9432	5
tara_S0182	7.4122	-79.3017	5
tara_S0183	9.8481	-80.0454	5
tara_S0184	25.6168	-88.4532	125.5
tara_S0185	25.5264	-88.394	5
tara_S0186	39.2305	-70.0377	5
tara_S0187	34.6712	-71.3093	5
tara_S0188	34.1504	-56.9684	249
tara_S0189	31.6948	-64.2489	5
tara_S0190	34.1132	-49.9181	5
tara_S0191	35.8427	-37.1526	40
tara_S0192	35.9346	-37.3032	5
tara_S0193	36.1811	-28.9373	79
tara_S0194	36.1715	-29.023	5
tara_S0195	43.7684	-16.9047	82.5
tara_S0196	43.6792	-16.8344	5
tara_S0197	20.8457	63.5851	600.5
tara_S0198	19.0351	64.5638	341
tara_S0199	19.0351	64.5638	341
tara_S0200	-15.3379	43.2948	999
tara_S0201	-29.5046	37.9599	1000
tara_S0202	-29.5046	37.9599	1000
tara_S0203	-35.1889	26.2905	850
tara_S0204	-35.1889	26.2905	850
tara_S0205	-31.0198	4.6685	700.5
tara_S0206	-31.0198	4.6685	700.5
tara_S0207	-20.4075	-3.1641	798.5
tara_S0208	-20.4075	-3.1641	798.5
tara_S0209	-8.7986	-17.9034	800
tara_S0210	-8.7986	-17.9034	800
tara_S0211	-20.9315	-35.1794	800
tara_S0212	-20.9315	-35.1794	800
tara_S0213	-30.1471	-43.2915	800
tara_S0214	-30.1471	-43.2915	800
tara_S0215	-61.9689	-49.5017	791
tara_S0216	-61.9689	-49.5017	791
tara_S0217	-25.8076	-111.6906	487.5
tara_S0218	-25.8076	-111.6906	487.5
tara_S0219	-5.261	-85.1678	480
tara_S0220	-5.261	-85.1678	480
tara_S0221	-5.261	-85.1678	480
tara_S0222	2.0649	-84.5546	380
tara_S0223	2.0649	-84.5546	380
tara_S0224	-1.8902	-84.6141	380.5
tara_S0225	-16.9486	-100.6715	350.5
tara_S0226	-23.2232	-129.5986	695.5
tara_S0227	-8.9729	-139.2393	600
tara_S0228	-8.9729	-139.2393	600
tara_S0229	-8.9729	-139.2393	600
tara_S0230	-8.9729	-139.2393	600
tara_S0231	31.528	-159.0224	550.5
tara_S0232	35.2698	-127.7268	650.5
tara_S0233	14.2025	-116.6433	374.5
tara_S0234	14.2025	-116.6433	374.5
tara_S0235	14.2025	-116.6433	374.5
tara_S0236	14.2025	-116.6433	374.5
tara_S0237	6.3559	-103.0598	449
tara_S0238	6.3559	-103.0598	449
tara_S0239	6.3559	-103.0598	449
tara_S0240	6.3559	-103.0598	449
tara_S0241	25.6236	-88.45	640.5
tara_S0242	39.2392	-70.0343	591
tara_S0243	34.6663	-71.2907	639
tara_S0244	34.0771	-49.8233	741
tara_S0245	43.7182	-16.8714	799
