sample	metagenome	unclassified	reads_total	bacteria	archaea	eukaryotes	viruses	pro_all	pro_HL	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_HLVI	pro_LL	pro_LLI	pro_LLII_LLIII	pro_LLII	pro_LLIII	pro_LLIV	pro_LLVII	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pro_LL_MIT1223	pel_all	pel_Ia	pel_Ia_BALTIC	pel_Ia_HIMB5	pel_Ia_1	pel_Ia_3	pel_Ia_3a	pel_Ia_3b	pel_Ib	pel_Ib_1	pel_Ib_2	pel_Ib_3	pel_Ic	pel_IIa	pel_IIa_1	pel_IIa_2	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	pel_Va	pel_Vb
S0001	simons	9881818	13408106	2838834	116640	492552	24537	8470	1382	307	815	44	31	6684	638	385	232	127	3151	1942	319	325	648	249	180	33	82	256315	195162	2856	876	103882	69777	11531	53747	8768	4710	1238	1211	1470	12370	11339	876	2477	3161	260	9825	5403	2349	3049
S0002	simons	10418658	20023118	8053884	626296	770514	44578	11905	3246	743	1955	157	106	8217	1175	1290	1057	204	3165	1976	371	349	612	248	189	26	101	1290948	1004522	13661	4772	432491	477105	71515	377924	44107	24170	5859	6254	6911	58572	54031	3880	10704	9850	1324	39599	37593	10585	26939
S0003	simons	8943320	19487370	9197607	680324	524361	38593	10536	3675	792	2367	129	140	6595	1179	1469	1306	139	2091	1536	296	214	481	239	136	15	85	1758986	1361338	18776	7025	551349	686080	105086	543229	63477	34363	8224	9405	10321	86589	80048	5577	15855	11941	1787	50726	56350	12685	43565
S0004	simons	7566507	18656356	9218992	1632070	74648	41549	8951	4593	1034	2996	190	180	4263	1178	788	663	111	1056	1061	279	140	312	107	111	8	97	2778305	1967582	28064	12864	816554	965406	225327	684362	159157	72292	23531	24499	34232	193545	178284	13107	58394	19648	3335	54978	116783	17469	99033
S0005	simons	7014686	18041910	8824793	1960437	78326	33847	8530	4099	987	2557	231	170	4340	1163	745	607	117	1326	988	280	135	274	102	80	11	63	2139375	1301869	20822	10537	525641	648500	191892	418345	183286	72596	28046	25239	75522	189629	172033	15269	110965	16734	3011	26608	92302	12544	79583
S0006	simons	5947337	13731707	6026672	1568895	60550	12044	5859	2634	671	1612	144	109	3142	850	548	464	74	764	865	252	108	221	74	95	11	60	1225868	541839	10555	5599	253451	230674	75649	142126	157862	55310	21588	18940	131285	95318	82198	11753	138645	11135	2595	9999	47352	6120	41169
S0008	simons	9634877	15710766	4651608	244087	1081072	31636	8769	2823	715	1668	93	81	5541	805	644	473	147	1985	1594	293	261	494	241	131	28	64	856498	645763	7444	3513	143664	445465	76807	340526	46514	25096	7138	6200	4192	37305	33632	3134	7619	3905	665	22294	31569	7419	24087
S0009	simons	10528984	19026750	6749928	1143507	456974	30214	6911	3647	763	2520	131	87	3141	721	550	448	83	962	772	202	102	257	80	71	5	53	1482700	1010559	10335	7134	114474	813232	196290	565149	140831	69518	24958	18562	13140	98685	87037	10285	26319	4872	1027	23810	57874	11453	46317
S0010	simons	8283556	17257312	7081762	1249281	493260	21825	7240	3795	762	2664	98	111	3290	765	530	414	96	952	858	199	101	286	103	78	10	61	1665701	1085192	11179	8096	118228	876393	227232	592853	179406	85712	32648	23383	18192	121277	105905	13464	38143	5365	1288	25372	68076	12970	54967
S0011	simons	8209676	21307495	10882787	1565247	444360	41514	12466	7130	1534	4915	174	193	5139	1188	1105	921	157	1304	1293	307	173	390	157	113	26	96	3240553	2083404	21825	16150	209506	1707684	459887	1143564	387940	185093	71269	48995	39379	221796	191181	27337	83224	10207	2735	44739	132734	24523	107961
S0012	simons	6085243	17169577	8790334	2068082	74259	21285	10059	5443	962	3916	180	164	4504	1126	875	733	120	1240	1052	288	152	282	113	98	15	95	2734880	1402404	17460	14199	128702	1161211	378042	715222	487594	215625	94084	54943	83110	208324	171888	33290	167988	10766	3173	29720	140353	18257	121873
S0013	simons	6778985	18717426	9195613	2517575	60584	27508	10649	5767	1193	3983	245	185	4774	1070	997	865	111	1459	1084	302	148	305	126	99	10	76	2737443	1201018	16886	13880	119932	977319	351570	566295	526188	222276	100402	58636	124323	234810	192069	38946	245967	12150	3714	28506	145685	15369	130048
S0015	simons	5522482	15860946	9635528	424161	179376	7069	96561	68414	47682	9595	231	450	25844	12410	1723	1272	390	4720	5097	879	1096	1239	954	354	79	230	2319502	1557461	8281	9228	16536	1434556	378627	957046	203254	112021	32242	29727	8137	135715	120755	12599	15420	3698	1071	72921	141545	55057	86210
S0016	simons	6407090	16522015	8965156	727816	317715	5910	37574	23998	14565	5755	141	196	12883	7490	1370	1189	147	1679	1727	373	361	441	250	136	22	91	2050427	1342032	7315	8560	15214	1235671	334331	817866	188979	98156	33218	27461	9863	132724	116468	13887	21247	3462	1117	53581	135162	46291	88603
S0017	simons	6901022	15681870	7247600	1188578	241312	4191	11864	7191	3023	3194	100	111	4480	2040	528	434	74	851	867	249	119	234	105	65	12	46	1839398	978270	7445	7992	17097	882591	280025	538302	260482	117875	52456	36932	28752	184481	153049	27366	67837	5140	1511	30918	110306	27572	82484
S0018	simons	6191311	14707712	7095353	1254479	78350	4417	6804	3965	805	2792	113	91	2788	826	503	421	69	728	643	202	70	192	60	51	13	41	1818192	876337	7377	7790	18120	788488	253212	478962	304655	132912	64971	40446	40656	184855	145956	34594	100839	5861	1756	22313	112405	21219	90927
S0019	simons	6520166	16834151	8571386	1555896	80570	6571	9459	5612	1151	3957	161	129	3760	959	899	805	75	973	815	215	125	230	91	73	10	60	2580766	1208196	10655	11242	27724	1089438	332981	683580	464765	205614	97001	60381	69705	263527	205650	52330	162414	8913	2838	25894	154374	27774	126332
S0020	simons	4472756	10358757	4860583	934393	32330	4736	5469	3152	533	2342	104	86	2277	458	623	574	38	635	498	153	74	132	47	48	9	31	1586410	717195	6781	7251	18414	643815	214121	386687	304671	131898	65148	40012	43320	170072	131378	35031	106234	5857	1744	13697	84973	14155	70665
S0021	simons	8810299	15522511	5613511	562334	447361	6115	27222	21721	15387	3104	122	160	4970	1662	678	527	136	1236	1062	188	223	291	171	76	18	49	1390131	859641	7043	7720	15242	777013	355997	368253	108148	48009	15596	26106	6726	189945	176628	10632	13451	3061	907	30384	71829	20937	50741
S0022	simons	8558692	15306076	5618327	542701	498542	6372	27468	21941	15586	2973	99	152	4938	1843	619	464	143	1094	1029	177	197	298	148	80	23	53	1306295	807841	6414	6928	14496	729781	329733	349636	102136	46586	14900	23438	6393	172486	159919	10053	12906	2887	864	30870	68557	19688	48720
S0023	simons	7764494	15646312	6634897	664120	481112	5969	28903	23491	16480	3502	130	153	4921	1948	628	482	132	1024	1033	184	171	330	136	94	11	46	1607232	983402	7985	8282	17787	889051	392924	435655	133570	61207	19649	29666	8402	207342	191637	12625	16754	3533	1033	39557	90479	24895	65380
S0024	simons	7996092	15917657	6648952	953607	201197	4339	26718	21934	14988	3239	152	165	4282	1840	558	472	78	811	849	167	136	239	134	86	9	46	1664121	901978	7530	7796	17759	809012	307642	441983	196058	95669	31419	32815	13303	184069	165139	15734	29095	4313	1190	53289	139327	30387	108649
S0025	simons	8240341	17005634	6970497	1583850	105457	4326	7336	4035	1118	2407	129	146	3206	836	602	508	84	684	965	258	151	264	89	101	12	68	1629352	417611	7523	6635	24428	355933	137444	197282	360880	153342	65900	38135	181419	126922	90642	33577	255927	8648	3210	11015	122787	9460	113115
S0026	simons	7671899	16214949	7093744	1305096	61651	6101	6335	3493	739	2312	196	120	2789	577	710	635	58	705	698	206	95	200	79	52	5	48	1548139	483581	7347	7254	22473	418670	169945	222740	392039	175109	77840	43373	69557	165898	124568	37572	164660	7302	2249	14104	114244	9740	104309
S0027	simons	21716507	34623558	12144665	253388	394209	22079	168525	145908	110723	13944	426	741	19756	7456	1861	1398	404	4384	4566	780	985	1275	718	325	67	193	3930096	2728116	15399	17015	32075	2522344	717013	1648645	328910	182730	48227	51781	12942	246680	220992	22086	27022	6135	2282	125071	177694	68708	108660
S0028	simons	12246265	18569939	5616809	469168	162907	6112	24247	19692	12832	4188	109	152	4207	1626	838	741	87	729	795	179	134	237	92	65	11	47	1772259	1161452	6999	7435	14585	1069950	295239	706283	162546	87268	26133	24289	7865	121855	108284	11653	16165	3354	1082	54535	111962	36757	75019
S0029	simons	10684772	24387572	12000307	1330786	225558	9686	27403	19991	10155	7427	190	247	7022	2100	1549	1387	143	1511	1528	407	248	401	196	120	15	118	4086223	2463171	16971	18176	38938	2254229	658643	1450631	511774	244580	99248	73681	35172	354329	303807	44708	86000	9469	2959	72524	231226	59074	171745
S0030	simons	7604483	18254646	8812637	1629361	102268	5581	11115	7010	1830	4539	149	150	4001	1033	993	880	94	959	893	263	113	262	76	86	19	64	2792009	1368902	12101	12743	31357	1236979	397057	759955	489726	216742	102038	64873	57702	286098	229379	51308	149109	9174	2893	27597	172073	30849	140901
S0031	simons	7743517	21636311	12119244	1557195	104056	5543	13356	8595	1692	6240	194	201	4643	1164	1017	881	119	1108	1201	306	176	345	131	99	18	89	4219977	2127699	18689	19069	48945	1918898	604111	1187350	728420	332808	154716	88425	75908	405885	329325	68806	194144	12608	4158	47778	273692	42712	230508
S0032	simons	7357841	20048954	10934121	1579656	73730	4962	11030	6764	1125	5040	172	173	4171	1050	935	820	86	1001	1042	265	168	306	103	103	20	92	3522904	1635258	15230	15962	40950	1467317	491311	877895	650411	291511	139597	81073	76029	380059	303277	68999	197058	11579	3773	35826	229732	32299	197029
S0033	simons	8451449	15024789	5165451	784589	163609	342628	711455	210519	10844	101100	8661	63361	494066	253492	76673	52329	21171	38475	102847	24875	20834	25264	12251	5108	1187	5700	1025212	344282	3587	3881	8954	311022	115200	176944	273976	126457	54594	44396	13346	150054	105554	41697	50591	4810	1098	19291	92386	8034	84225
S0034	simons	8347662	16184595	6001088	1602853	59309	53999	115443	18252	1776	9850	1114	4648	96018	9136	16516	12992	3051	10485	54755	22561	8283	8663	4725	3357	666	1251	1205221	173794	5859	4922	20138	134106	61034	67010	310537	133473	52952	27119	149982	95942	54831	38966	281030	7976	3029	6942	66063	3759	62203
S0035	simons	9069242	17339039	5808650	2230702	24352	27436	26074	13251	5727	5415	370	1161	12660	1541	3518	2897	592	3693	3692	1732	232	1153	176	164	28	89	870453	127327	4871	3708	18835	93195	42501	46831	195556	76956	26309	20092	146445	57963	40382	16564	192249	9242	2365	8597	62274	3589	58561
S0036	simons	7978073	16509998	7029873	1268263	40776	96255	47960	35536	2117	21985	5653	3265	11990	1869	3230	2791	370	4043	2555	584	309	939	234	198	40	95	1621858	412418	5361	5570	13761	367103	151346	194748	468356	260373	80994	56946	18403	276283	150275	117921	42973	8736	1730	51046	219515	19558	199764
S0037	simons	10470364	21792647	9613633	1416641	60086	103203	71134	60540	2930	41191	7463	2362	9892	2087	2474	2170	252	3536	1593	279	163	657	182	169	17	73	2536204	666652	6142	6551	14064	609215	255226	319891	680653	433236	80116	96022	13272	393718	233572	149179	27069	17876	2024	108258	467442	64359	402681
S0039	simons	8623551	16412949	6217532	1338181	65457	72910	79676	19949	1592	9817	1314	6859	59018	3593	6579	4417	1914	17975	28102	10758	4164	5066	2797	1532	330	703	1038294	143163	4449	4046	13640	113662	52969	55263	272802	113975	58099	24594	75634	122042	64920	53705	245386	6942	2409	5293	54720	2835	51782
S0040	simons	9005227	16395452	5808090	1388194	56928	23606	41291	7548	1259	4019	376	1664	33328	2070	3632	2517	990	7855	18070	6722	2927	3094	1646	1200	246	420	819057	94693	3615	2730	11365	72183	33356	35777	183604	76027	34132	16047	116073	59455	30669	27231	194933	5972	2144	2748	70809	3689	67020
S0041	simons	9549677	20252454	9855469	490568	134753	101802	984580	953926	15672	702006	6147	5713	13452	2880	1950	1332	540	4021	3281	631	614	1024	408	244	40	218	1558668	694025	3821	5097	6690	637914	202405	390656	218980	88161	44952	65110	4709	238402	222639	12740	15544	30855	1694	42871	201098	110134	90721
S0042	simons	6915741	13781958	5386171	1292664	28888	76315	58995	34039	4515	19314	6715	1539	24466	5716	4969	3891	921	4554	8186	2747	1352	1811	709	492	101	275	853891	283142	1939	2232	4047	259124	95024	146494	188130	96772	38728	30446	3574	145334	116277	26169	15559	9507	682	25176	119152	14965	104052
S0043	simons	10599510	20502731	8277708	1032388	37586	391599	202039	154771	30634	88445	19563	7314	45664	5966	7349	4521	2606	14741	16971	2337	335	13142	230	582	43	200	1581956	434426	4414	4798	10951	391039	151383	214296	391237	210942	66742	57029	13251	313843	189672	114981	50900	14378	1563	63019	176760	17324	159254
S0044	simons	9748620	16639047	6410222	183370	161522	78267	40978	33615	1686	25839	1106	493	7001	1082	1844	1573	258	2665	1230	233	219	391	149	96	28	71	1240021	470286	1813	2173	3206	440250	114951	297010	92490	37568	12019	35166	2552	269491	256103	10541	12481	27648	1017	22014	280845	114591	166069
S0045	simons	10058481	18769549	6357603	2091185	33653	65646	43239	17293	4354	8404	444	3852	25609	2529	5502	3682	1772	9049	7810	2548	693	3010	526	343	100	196	793806	87721	3476	2736	10959	65740	29175	33751	151537	62793	23404	13807	143978	57125	34088	21707	202048	8473	2199	4372	61657	3587	57955
S0046	simons	10091494	18683975	6563924	1625989	39855	218909	125033	46760	5133	24667	1460	14930	77237	7091	14945	8687	6018	28213	24540	6458	2862	9139	2048	1224	343	692	924756	125120	3977	3580	12592	98909	44583	49682	235111	101363	45758	20286	79845	92628	51016	39320	227364	8255	2087	5606	58572	2943	55539
S0047	simons	11723879	24271091	10728730	599090	110795	882812	2840197	2758072	63955	1968981	124790	36642	39710	8504	5529	3551	1736	14790	8087	1199	818	3631	753	749	104	529	2307659	854760	4585	5974	9682	789613	330600	408108	516004	295532	45105	124493	5531	315253	276977	34072	17001	13568	1452	107746	322515	141922	180207
S0048	simons	9530542	17000257	6295960	447180	52397	527982	1492586	1439032	45191	1015233	51984	19116	28750	6142	4467	2856	1450	11538	5045	797	507	2061	526	550	70	332	1353113	425724	2665	3312	5668	390032	165738	197548	351988	207466	20746	89324	3597	214698	182227	28982	19228	13747	857	85394	142611	45304	97117
S0049	simons	13471862	30858335	15282883	1352856	295826	261281	2345280	2210618	32737	1685274	16713	20906	101212	73497	5184	3482	1457	9733	8471	1442	1204	3522	905	557	103	459	4359101	1447830	11976	14457	28416	1323935	615383	634103	1240612	720227	117224	262861	26536	687456	554877	118195	61102	35899	3289	159359	395341	109573	285380
S0050	simons	5477987	13097526	6598060	684672	149902	95097	982718	919341	13680	677060	6515	7925	46478	35347	1947	1274	577	3506	3439	630	457	1375	363	240	44	213	1800090	589127	4835	5654	11284	533750	244751	254686	501273	288111	46482	106094	11282	290616	233388	49876	23585	15029	1465	74002	148783	41986	106590
S0051	simons	9871140	20980616	8971975	1766373	111970	128579	225813	54382	3878	23099	2821	19346	169400	54012	33270	27081	5079	16386	58181	20318	10067	10794	5489	3429	772	1644	1632151	373758	7160	6951	21657	317980	147509	152158	440756	184038	84502	62344	84279	257235	176329	74227	198141	10470	2729	12213	101268	9864	91264
S0052	simons	8495159	16301067	6417939	1242810	45378	25195	28238	7523	990	4901	389	946	20467	5085	3229	2600	498	4089	7340	2694	1192	1347	649	481	94	228	1071825	189097	4822	4414	15623	154408	74631	71715	261599	102389	54048	27931	99383	137955	84832	49637	207609	7062	2386	2984	58493	3804	54595
S0053	simons	11307196	22855268	9578815	1792272	44631	20022	20415	7525	1234	4838	295	795	12753	5816	1445	1142	242	3219	1983	581	253	526	197	174	33	120	1887994	283306	8791	7295	28467	224765	109070	104752	409658	152477	81695	40891	269807	178541	110171	64283	446013	12123	4650	5133	95919	5663	90077
S0054	simons	10756383	20712714	8432080	1383698	41921	6872	9121	4252	991	2615	179	202	4752	1318	775	600	155	1178	1306	349	198	363	119	111	28	95	1273607	150489	5328	4281	17165	116212	56052	54845	246851	88901	48007	24195	219109	99813	55541	41671	340356	8694	3526	3148	67790	4098	63582
S0055	simons	9971511	20351162	8711774	1529198	43867	5058	9970	5572	820	3786	153	146	4268	1115	661	501	135	978	1363	380	225	332	142	105	25	70	1266941	185109	5650	4980	18967	145650	70031	68297	287093	105346	59822	27817	159579	111326	65283	43174	315920	8339	3146	3534	63102	4075	58913
S0057	simons	10094498	22930849	12278695	215897	132316	122432	1990223	1947540	31038	1489460	10432	10077	14054	4160	2087	1438	537	2604	3578	694	499	1364	385	278	60	225	3953756	963819	7620	9342	17007	886073	496880	345067	1144153	768491	33232	260289	11554	776821	647881	113010	17465	106422	3225	174517	531498	180847	350174
S0058	simons	6254465	15195841	8539771	158045	90493	88924	1392346	1360469	21315	1026900	7658	7065	10230	2960	1549	1039	436	1837	2649	472	354	1017	320	217	34	172	2689627	649819	5052	6136	11520	595289	331093	232339	772931	517176	22029	176593	8159	525165	437646	75557	11815	73146	2150	124372	359447	125989	233112
S0059	simons	17824962	32710598	14155283	283165	169586	164564	2418060	2363481	39466	1794777	11380	12573	18556	5664	2884	1913	849	3414	4470	769	572	1821	499	363	81	305	4395895	1080645	8423	10176	19118	992160	554632	386753	1277207	854984	37945	291610	13151	833139	688653	126488	21844	118411	3553	194976	594019	207843	385692
S0060	simons	11721976	24998572	10951883	1245711	359950	525845	2044723	545671	28045	292851	22568	109104	1477723	887141	217711	172195	36422	81279	230397	69105	44043	48298	24724	12101	2666	11730	2392326	513923	9967	9777	28520	439769	211583	204175	766582	372687	143467	100496	51343	515214	262387	236432	141001	12336	3359	37868	155090	10376	144511
S0061	simons	9132950	20915472	9698769	1791555	68477	87583	122682	22965	1933	12222	1743	6414	98626	9721	21068	16917	3583	17778	45276	18717	7076	7127	3890	2531	569	1291	1778856	259500	7849	7155	26713	205336	100138	95692	449874	175616	96675	44662	163750	202510	115994	81552	387538	11091	4150	5648	118607	5783	112655
S0062	simons	10005200	22035036	9868499	1928433	48354	41939	49992	12336	1723	7052	590	2557	37223	3836	5231	3655	1449	8725	17727	6989	2640	3247	1529	1093	229	454	1828229	207803	7896	6192	26254	157247	73496	77233	363437	137329	65487	33568	307581	126388	70850	52539	462727	12243	4797	5574	150031	7559	142233
S0063	simons	10309856	19459374	7560793	1425470	43507	7370	9913	4345	1043	2542	190	346	5460	1227	804	601	180	1352	1875	586	275	448	181	157	27	98	1359195	133800	5747	4154	18863	98535	44900	49769	221069	81149	33839	21060	313491	71160	39994	29466	359150	9223	3977	3952	108342	5552	102626
S0064	simons	4456465	10125264	4946551	456978	129150	68075	853880	816069	9327	604854	4029	7654	23762	15019	1666	1021	565	2901	2876	542	363	1252	264	149	39	130	1205464	368744	2835	3749	6383	333908	153289	158731	315913	195738	27191	58676	7104	208019	169702	33123	16403	15779	958	56902	121800	36181	85467
S0065	simons	4728716	11207793	5821386	416832	115785	56861	179544	159314	3112	114829	2722	4581	17393	9568	1624	963	588	2968	2553	452	281	1217	202	150	33	99	1647632	479217	3800	4971	9019	433456	188276	216786	427536	251578	39668	85584	12253	295880	235589	52688	30597	22597	1481	73213	174846	56301	118290
S0066	simons	6231507	12015278	4643181	899057	109252	59553	291054	89096	2621	55702	3076	11925	198328	28225	34870	26344	7269	12140	111601	45974	17368	16880	10003	6095	1284	2691	958416	221810	3579	3687	10424	191801	81092	99218	253875	117309	45875	33353	42938	140400	93032	43727	118929	7723	1676	15204	65209	10901	54218
S0067	simons	6070924	12771867	5203037	1285962	62315	64077	132815	24001	1752	10413	2510	8208	107455	12952	17734	13336	3794	12726	58305	23185	9050	9582	5368	3354	763	1483	1269845	300042	5821	5677	17344	254991	101773	138358	309047	127004	63678	30661	98139	138996	90546	45385	214766	7542	2639	9390	70658	5543	65010
S0068	simons	13184148	24093448	8842016	1828591	58090	36546	48299	25018	2262	16597	698	2217	22761	3474	4093	3157	819	5633	8661	3458	1199	1759	690	494	90	252	1757483	211102	7511	6045	25240	162321	75693	79981	374902	150162	66399	34750	306841	132739	71347	58136	424732	12393	4672	5431	115371	6902	108269
S0069	simons	11138466	22286950	9499970	1482407	43979	13679	15416	7003	1057	4341	254	641	8249	2072	1055	749	262	2742	2099	627	267	548	193	162	36	113	1327211	152666	5476	4373	17344	116899	55676	55582	252131	93672	47615	24280	231289	107688	59079	45471	337872	9352	3727	3886	76454	4530	71766
S0070	simons	11854046	23068661	9613642	1434397	47818	8121	11460	5204	1194	3087	208	317	6114	1573	888	679	175	1536	1905	555	283	461	189	146	32	101	1259701	123098	5089	3687	15650	91818	42630	45220	201524	72979	35055	19461	269847	83719	45130	36069	340303	9267	3655	3616	82049	4859	77032
S0071	simons	13038343	25929996	11054503	1639155	43767	6288	12526	6172	1335	3732	214	277	6172	1400	898	691	183	1627	2026	537	315	526	210	136	28	90	1306130	117696	4931	3607	15846	86435	38720	43859	185039	66773	27828	18114	329938	73283	40553	30637	347870	9536	3877	4160	82579	5007	77392
S0072	simons	5144475	13821385	7994348	225164	73475	290703	1546031	1505443	32221	1087665	29907	17243	15372	3870	2395	1555	725	4249	3480	591	361	1577	305	271	58	216	2117519	534353	4396	5104	9467	487598	273785	184908	649311	449583	19812	126205	6108	329855	275571	47278	11518	21403	1399	125949	298573	112349	185881
S0073	simons	5019372	11919017	6008116	259138	68173	459697	1590441	1509308	71956	1009004	51670	26327	51565	30531	4296	2510	1538	6624	7355	771	535	4541	485	480	51	379	1230614	328959	3667	3940	9103	293419	131214	142956	354306	209698	38194	60359	8430	264580	144879	111003	15684	5872	1162	53817	102668	19148	83404
S0074	simons	8914723	20241657	9550414	701973	515431	396199	2047216	439857	23128	207023	18058	105481	1581715	1142646	159861	120631	30312	40074	162368	42752	32956	35023	19168	8254	1994	14923	1739153	394716	7281	7262	20536	336397	157213	157996	532735	245867	102364	74409	36490	358148	203271	142996	96788	8450	2530	28044	113618	6265	107156
S0075	simons	11490198	26359603	12078837	2244926	176288	190670	631019	65287	4792	26327	7824	23509	560014	74871	124439	102567	18537	96627	236612	98098	37553	36448	20669	12883	2607	6485	2270949	361060	10636	9511	34444	287687	135712	137518	629736	256582	135362	59069	183541	247033	146517	94263	466224	13869	4970	11896	124201	6561	117438
S0076	simons	12412532	26671797	11694715	2306612	60275	24938	38399	9575	1759	5396	542	1524	28447	2952	4217	2997	1101	4677	15209	6048	2296	2716	1296	954	216	383	2026686	235673	8900	7057	30089	177603	81430	88573	413977	162484	71440	37353	351796	137186	76113	57595	504681	13510	5483	9419	145424	7799	137354
S0077	simons	11918612	26493445	11938414	2391686	43731	15316	18085	8157	1794	4783	300	850	9747	1845	1407	1079	302	2648	3489	1189	505	827	309	265	49	145	2309455	239071	9759	7400	32625	176958	80802	88969	401025	152086	61949	37999	506306	132895	74948	54772	601465	15869	6478	10873	168956	9288	159364
S0078	simons	9500202	20721076	9428085	1611039	32671	8987	11681	5643	1678	3164	208	246	5889	1539	950	773	161	1437	1760	562	245	441	163	135	23	102	1474359	138364	5968	4507	19702	100849	45321	51390	213614	77846	30685	21443	389923	74611	43833	28953	374561	10452	4237	6018	112306	6446	105640
S0079	simons	9388266	20215177	9106496	1534603	34377	5209	11777	7067	1366	4367	220	231	4535	1148	658	523	113	1008	1530	443	211	394	153	117	25	96	1198641	111996	4821	3445	15990	81430	36158	41839	165929	59494	23163	16886	338638	58520	34611	22409	297983	8282	3517	5428	83707	5083	78458
S0080	simons	10306505	21618413	9664728	1466345	33143	4570	13842	8953	1763	5205	205	239	4661	1317	627	490	123	992	1530	433	230	385	154	118	19	93	1240554	116547	5182	3587	17438	83367	37619	42141	165897	55706	22976	17089	381316	55783	34253	19996	305950	8743	3708	4575	71643	4664	66833
S0081	simons	13533107	26636708	10796790	2096239	34292	8665	12381	6518	2050	3543	216	293	5743	1529	862	697	146	1374	1782	581	213	459	180	133	20	108	1784869	157665	6903	4731	26397	111434	52482	54424	200742	60150	25778	22161	671691	74166	47930	24491	441379	12648	5515	4095	79532	5407	73974
S0082	simons	11621846	24814416	12404951	399183	158173	130268	2515970	2417092	34201	1856938	6843	14471	63020	47099	3336	2359	821	4725	4677	928	624	1863	477	319	47	348	3929340	1214391	8987	10232	20235	1118323	540871	518160	1153397	724328	62703	265692	15145	629289	518245	98195	26603	47363	2912	159873	434134	141420	292313
S0083	simons	10765537	25227197	13569466	449336	164003	165844	2438672	2339569	40509	1791732	7770	15262	65226	47169	4389	3193	1019	4915	5612	1214	774	2067	608	356	63	362	4325427	1334795	9230	11038	20913	1232061	598831	568540	1246343	787924	59096	296988	15152	699348	579837	105453	26203	58038	2981	185573	493049	161925	330706
S0084	simons	10608518	23772878	11294511	1065922	307137	341240	1486700	739912	61636	443681	11891	80163	729947	550797	70727	58601	9927	20113	63822	19895	12058	12411	6832	3508	828	2774	2934825	960351	9559	10008	24186	868887	342985	474851	767928	421000	84081	155625	26653	525714	379903	133420	59851	21001	2722	80446	279930	56959	222696
S0085	simons	9021709	16296350	6026708	997232	123726	47954	724305	35931	4648	16936	2094	8009	680417	88884	148755	123986	20548	42720	361578	143426	58035	57408	31009	21294	4433	8195	1554015	347508	7726	7176	25219	289237	138714	134376	431262	172546	85200	54443	94921	218452	147835	65451	227904	9265	2920	6180	69890	5357	64438
S0086	simons	7817202	16124050	6643349	1404539	54769	107888	175629	33375	1995	16734	1469	12544	140864	26326	32636	27523	4143	21355	53922	20721	8563	9009	4861	3301	666	1543	1825526	450923	8685	8429	27718	381215	169364	189261	438872	175441	89779	48133	100633	274294	206369	62307	268178	10082	3425	13297	99320	7575	91542
S0087	simons	7929381	14993245	5883060	1064390	42449	7458	16808	3327	733	2114	117	178	13317	1833	2045	1687	295	2351	6456	2740	901	1104	513	352	79	148	1128802	191993	5349	4588	17244	154257	72133	73548	259892	97598	53626	25595	130684	105790	67432	35717	249608	7180	2743	3346	58319	3603	54606
S0088	simons	11381374	21163384	8108297	1527337	43574	7198	9690	4133	885	2614	181	197	5437	1542	813	651	136	1411	1475	453	211	385	134	107	21	91	1405878	210658	6399	5448	21031	165931	79269	77754	317566	116639	65288	30943	179074	121795	73873	44657	334936	9427	3652	3743	69556	4117	65295
S0089	simons	6966643	13019840	5222522	751980	23121	2344	5098	2609	572	1603	124	78	2421	604	391	283	95	464	855	232	148	231	83	65	9	57	1044038	125418	4346	3606	15313	95554	46226	44918	195610	69105	36109	20006	189472	75065	43712	29484	283013	6974	3024	2478	52150	3121	48942
S0090	simons	7288015	19067572	11454625	123049	83788	48449	803914	780773	16102	597279	2018	2643	12045	3829	1543	1006	463	2299	3259	613	531	1155	374	223	64	188	4614108	1464225	7072	7501	16275	1368774	454776	843986	937083	561972	28061	285323	11569	837789	680909	139031	18040	202469	3844	175895	714573	295804	418137
S0091	simons	6084865	14326719	8004076	87807	65431	36850	577921	560774	11333	430827	1504	1968	9102	2934	1207	758	400	1746	2429	466	373	875	310	157	31	130	3219624	1000009	4773	5259	11163	935903	311931	576740	648546	390073	19963	195680	8200	598717	488704	97513	12950	144197	2793	122105	512367	215605	296331
S0092	simons	8033589	18591280	9621463	428907	94362	302972	2728040	2201469	101678	1585124	13149	28862	489530	453775	7001	4699	1832	5858	8629	1478	1088	3898	780	525	68	741	2530922	623291	8165	8593	22225	553428	260823	261718	771966	454062	89543	127344	19870	550159	256094	275937	36441	18126	2752	111401	217831	38464	179201
S0093	simons	9415223	21405258	10504920	790419	186700	367022	2384529	668858	31911	395433	9818	101027	1692438	1461755	84565	63795	16112	37693	55774	14417	11057	13057	6092	3207	585	5309	2703778	605531	10656	10818	30441	524337	249539	246952	865552	458378	143938	116478	41644	606150	275393	311522	102775	14412	3541	66888	188151	15544	172350
S0094	simons	9024455	20112066	9078880	1484710	131219	252504	628678	89831	5685	39860	7515	31440	532996	129504	119059	96770	18766	72112	186527	67956	31896	33994	17368	10415	2022	5844	2329118	411285	10848	10408	33564	336420	167602	152599	714756	307188	157247	75273	104577	403211	209158	183074	326703	13757	4450	19022	117614	6327	111120
