sample	metagenome	unclassified	reads_total	bacteria	archaea	eukaryotes	viruses	pro_all	pro_HL	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_HLVI	pro_LL	pro_LLI	pro_LLII_LLIII	pro_LLII	pro_LLIII	pro_LLIV	pro_LLVII	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pro_LL_MIT1223	pel_all	pel_Ia	pel_Ia_BALTIC	pel_Ia_HIMB5	pel_Ia_1	pel_Ia_3	pel_Ia_3a	pel_Ia_3b	pel_Ib	pel_Ib_1	pel_Ib_2	pel_Ib_3	pel_Ic	pel_IIa	pel_IIa_1	pel_IIa_2	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	pel_Va	pel_Vb
S0303	simons	8151820	18256641	8760589	510200	181424	504513	1893331	1774464	54817	1302967	39321	27655	94994	65613	5269	3473	1575	13772	6958	1125	956	2688	714	573	56	595	2103867	681092	5340	6586	12908	625270	347043	245036	623829	362520	46312	151991	11302	338771	276406	57775	28073	12730	1530	87053	189179	56602	132448
S0304	simons	6417347	15421451	7807931	457162	148208	456867	1646538	1539203	47742	1125418	36191	24389	86415	58850	5073	3417	1449	12438	6907	1265	976	2436	644	602	65	584	1899498	611084	4719	5820	11671	560368	313461	216839	560525	326194	41002	137033	10493	308103	250847	53093	25855	11474	1441	80602	171530	51269	120125
S0305	simons	7589451	18069468	9082479	530818	175480	532859	1955412	1828846	57250	1334834	41439	29179	101178	69585	5557	3681	1656	14756	7636	1308	1015	2882	743	631	71	631	2167418	697769	5451	6681	13108	639698	354616	250204	637896	369871	47655	155403	11842	352155	287338	59954	30212	13212	1615	92099	193870	58916	134770
S0306	simons	8425614	19051980	8862758	665086	401717	535228	1819308	1708449	52735	1210718	94177	22640	87866	62511	4395	2750	1450	11448	6354	926	925	2546	646	526	64	460	2134907	857556	5749	7378	13495	789580	370253	373705	552033	318494	47471	125890	10978	257803	222418	32115	27359	8868	1355	86757	190144	54681	135315
S0307	simons	17572629	32339483	12324214	878420	661736	689540	2518750	2369246	71352	1688990	132511	30406	118774	85722	5585	3520	1845	14832	8416	1372	1257	3201	824	757	106	605	3045411	1235692	8395	10780	19762	1139115	537724	537887	792493	457113	67834	180786	15986	367410	317062	45859	37449	12857	2021	115623	270162	75782	194173
S0308	simons	7924076	17588913	7933182	692055	407396	483730	1409532	1310648	39727	903471	97566	19387	80933	59456	3457	2122	1160	9883	5335	819	766	2110	517	437	73	402	1874085	754026	5104	6397	11930	693175	325741	326666	486710	280943	42262	109317	10136	214244	184343	27191	23885	7211	1141	79744	169573	48885	120536
S0309	simons	7562450	15182478	6243559	817124	274707	190216	987290	143582	29518	76947	7472	9137	835677	665789	52493	42274	8517	23009	66353	19725	12284	13581	7176	4309	821	5077	1550049	561886	6469	6272	17542	501361	239687	231259	391367	196774	49858	84063	30093	206517	180661	23243	76132	6450	1545	43448	114417	17520	96766
S0310	simons	6871517	15510733	7185425	1027899	60051	256861	772345	100723	16212	55697	7128	12032	665443	435579	75842	62504	11141	29763	98607	29977	17946	19919	10523	6380	1295	5654	2173631	778250	10092	9424	29003	690077	324818	325573	536071	253157	83405	100088	58241	282668	244943	34156	143146	9133	2613	42208	152698	19807	132688
S0311	simons	8720677	16052238	6585986	266604	112101	279265	1773254	1572704	194045	1027662	14798	20816	177337	156097	3290	2306	785	7565	4795	912	742	1624	547	426	44	585	1739733	573929	4787	5246	11251	524277	268623	226262	539212	323692	24140	150048	7253	245186	210103	31987	15308	9306	1213	85588	156935	49756	107074
S0312	simons	6259136	14146971	7115572	287571	104544	288268	1957560	1743284	216702	1138043	16479	21973	188585	166758	3490	2433	847	7458	4998	1021	740	1699	519	421	58	612	1871938	615586	5148	5511	12426	562766	287916	243057	580992	348928	25861	162233	7900	263529	225821	34425	15932	10087	1251	92748	169279	53509	115639
S0313	simons	4802351	10809596	5387574	219167	82377	244105	1423065	1255507	154052	818363	13926	16963	148580	130779	2687	1853	683	6319	4033	761	662	1328	423	362	53	510	1433704	471784	3955	4304	9299	430948	221334	184941	444160	264666	19998	125187	6010	204400	175060	26677	12877	7859	924	68962	128396	40659	87641
S0314	simons	5009841	11762275	6048885	248556	91326	279903	1744106	1575409	189359	1029765	18268	19687	145316	126645	2758	1903	684	6954	4163	849	578	1400	455	357	44	469	1537912	504978	4135	4628	9935	461398	238023	196995	471424	280625	21107	133435	6414	223868	191575	29439	13749	8446	1004	78563	135330	43284	91964
S0315	simons	7210413	12876757	4613790	452620	184141	324950	953350	136296	11093	59590	4863	48525	809853	663602	43301	32977	8742	34655	41327	10216	8956	8234	5113	2635	512	4933	1111097	303737	4694	4613	13289	265689	123999	126404	330135	157746	52298	60032	23711	192274	154820	34521	71433	5111	1354	23281	77907	7406	70394
S0316	simons	5930248	14499299	8081680	200128	81449	136492	2414730	2342844	1223593	690795	20903	19671	40276	27148	2897	2123	653	3152	4437	943	602	1619	472	314	61	440	2037545	738688	6530	6897	14194	674824	334005	302184	556409	354604	19681	139820	6638	279994	237563	39090	11904	13654	1326	135260	174732	59667	114952
S0317	simons	6138076	13721436	7018339	238622	96866	152356	1875646	1802980	882058	539133	26595	15571	40634	28475	2453	1732	610	3205	3776	665	441	1630	377	278	39	386	1441845	486210	4222	4374	9854	441372	215119	198633	376093	236065	13153	96365	4705	206392	174086	29395	9148	9887	918	138369	117159	45365	71688
S0318	simons	12282792	32930892	19498955	501748	150086	329643	5808016	5626918	2959942	1647168	51903	46657	104844	74281	6852	4876	1643	7727	9594	2047	1305	3325	1080	763	111	1007	4958630	1803741	15976	17026	35169	1649111	816099	741105	1356483	866111	47324	342322	16241	679621	576217	95163	28220	33461	3308	330302	422121	142173	279673
S0319	simons	10996702	24987316	12868099	447637	134352	390068	3162461	2951158	1623626	771886	47484	29600	168576	140975	5140	3423	1495	8662	7591	1358	910	3252	700	593	78	795	3138143	1114804	10196	10398	22381	1016179	499499	457630	834410	527730	30721	210276	10882	441091	372896	62624	26356	23876	2139	221604	277356	90368	186798
S0320	simons	13083762	23213657	8438152	602683	323912	610414	2166520	591552	345670	103312	30190	42424	1557250	1449421	12946	8250	3860	33293	19456	4143	3450	4855	2432	1707	278	6380	1726208	510349	7336	6824	19333	450961	207244	217704	454117	256524	45087	88081	21220	320972	238517	77308	63999	8003	1713	91796	142655	20857	121688
