S0062	24.1497	-40.21786	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0063	24.1497	-40.21786	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0064	38.65497	-69.13131	GFST	Westerlies	Gulf Stream Province
S0065	38.65497	-69.13131	GFST	Westerlies	Gulf Stream Province
S0066	38.65497	-69.13131	GFST	Westerlies	Gulf Stream Province
S0067	38.65497	-69.13131	GFST	Westerlies	Gulf Stream Province
S0068	38.65497	-69.13131	GFST	Westerlies	Gulf Stream Province
S0069	38.65497	-69.13131	GFST	Westerlies	Gulf Stream Province
S0070	38.65497	-69.13131	GFST	Westerlies	Gulf Stream Province
S0071	38.65497	-69.13131	GFST	Westerlies	Gulf Stream Province
S0072	22.33305	-35.86703	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0073	22.33305	-35.86703	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0074	22.33305	-35.86703	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0075	22.33305	-35.86703	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0076	22.33305	-35.86703	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0077	22.33305	-35.86703	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0078	22.33305	-35.86703	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0079	22.33305	-35.86703	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0080	22.33305	-35.86703	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0081	22.33305	-35.86703	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0082	31.75351	-64.17499	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0083	31.75351	-64.17499	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0084	31.75351	-64.17499	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0085	31.75351	-64.17499	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0086	31.75351	-64.17499	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0087	31.75351	-64.17499	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0088	31.75351	-64.17499	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0089	31.75351	-64.17499	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0090	26.13688	-44.82622	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0091	26.13688	-44.82622	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0092	26.13688	-44.82622	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0093	26.13688	-44.82622	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0094	26.13688	-44.82622	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0095	26.13688	-44.82622	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0096	26.13688	-44.82622	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0097	26.13688	-44.82622	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0098	17.3999	-24.49991	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0099	17.3999	-24.49991	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0100	17.3999	-24.49991	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0101	17.3999	-24.49991	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0102	17.3999	-24.49991	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0103	17.3999	-24.49991	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0104	17.3999	-24.49991	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0105	27.58305	-49.63297	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0106	27.58305	-49.63297	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0107	27.58305	-49.63297	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0108	27.58305	-49.63297	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0109	27.58305	-49.63297	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0110	27.58305	-49.63297	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0111	27.58305	-49.63297	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0112	27.58305	-49.63297	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0114	39.69225	-69.86286	NWCS	Coastal	NW Atlantic Shelves Province
S0115	39.69225	-69.86286	NWCS	Coastal	NW Atlantic Shelves Province
S0116	39.69225	-69.86286	NWCS	Coastal	NW Atlantic Shelves Province
S0117	39.69225	-69.86286	NWCS	Coastal	NW Atlantic Shelves Province
S0118	39.69225	-69.86286	NWCS	Coastal	NW Atlantic Shelves Province
S0119	39.69225	-69.86286	NWCS	Coastal	NW Atlantic Shelves Province
S0120	39.69225	-69.86286	NWCS	Coastal	NW Atlantic Shelves Province
S0122	38.32433	-68.87553	GFST	Westerlies	Gulf Stream Province
S0123	38.32433	-68.87553	GFST	Westerlies	Gulf Stream Province
S0124	38.32433	-68.87553	GFST	Westerlies	Gulf Stream Province
S0125	38.32433	-68.87553	GFST	Westerlies	Gulf Stream Province
S0126	38.32433	-68.87553	GFST	Westerlies	Gulf Stream Province
S0127	38.32433	-68.87553	GFST	Westerlies	Gulf Stream Province
S0128	38.32433	-68.87553	GFST	Westerlies	Gulf Stream Province
S0129	38.32433	-68.87553	GFST	Westerlies	Gulf Stream Province
S0130	37.60731	-68.3895	GFST	Westerlies	Gulf Stream Province
S0131	37.60731	-68.3895	GFST	Westerlies	Gulf Stream Province
S0132	37.60731	-68.3895	GFST	Westerlies	Gulf Stream Province
S0133	37.60731	-68.3895	GFST	Westerlies	Gulf Stream Province
S0134	37.60731	-68.3895	GFST	Westerlies	Gulf Stream Province
S0135	37.60731	-68.3895	GFST	Westerlies	Gulf Stream Province
S0136	37.60731	-68.3895	GFST	Westerlies	Gulf Stream Province
S0137	37.60731	-68.3895	GFST	Westerlies	Gulf Stream Province
S0138	19.43336	-29.38323	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0139	19.43336	-29.38323	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0140	19.43336	-29.38323	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0141	19.43336	-29.38323	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0142	19.43336	-29.38323	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0143	19.43336	-29.38323	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0144	19.43336	-29.38323	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0145	19.43336	-29.38323	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0147	24.7143	-67.0726	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0148	24.7143	-67.0726	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0149	24.7143	-67.0726	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0150	24.7143	-67.0726	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0151	24.7143	-67.0726	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0152	22.3411	-63.5833	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0153	22.3411	-63.5833	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0154	22.3411	-63.5833	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0155	22.3411	-63.5833	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0156	22.3411	-63.5833	NATR	Trades	N. Atlantic Tropical Gyral Province (TRPG)
S0157	47.8007	-39.399	NADR	Westerlies	N. Atlantic Drift Province (WWDR)
S0158	47.8007	-39.399	NADR	Westerlies	N. Atlantic Drift Province (WWDR)
S0159	47.8007	-39.399	NADR	Westerlies	N. Atlantic Drift Province (WWDR)
S0160	47.8007	-39.399	NADR	Westerlies	N. Atlantic Drift Province (WWDR)
S0161	47.8007	-39.399	NADR	Westerlies	N. Atlantic Drift Province (WWDR)
S0162	47.8007	-39.399	NADR	Westerlies	N. Atlantic Drift Province (WWDR)
S0163	31.6667	-64.167	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0164	31.6667	-64.167	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0165	31.6667	-64.167	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0166	31.6667	-64.167	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
S0167	31.6667	-64.167	NASW	Westerlies	N. Atlantic Subtropical Gyral Province (West) (STGW)
